Source Node,Link,Destination Node,Source Type
eggplant,helped_by,green beans,vegetables
eggplant,helped_by,pigweed,vegetables
eggplant,helped_by,green beans,vegetables
legume,helped_by,summer savory,vegetables
legume,helped_by,phacelia,vegetables
okra,helped_by,sweet potato,vegetables
onion,helped_by,summer savory,vegetables
pepper,helped_by,crimson clover,vegetables
pepper,helped_by,field mustard,vegetables
potato,helped_by,dead nettle,vegetables
pumpkin,helped_by,jimson weed,vegetables
soybean,helped_by,snap beans,vegetables
turnip,helped_by,hairy vetch,vegetables
rutabaga,helped_by,hairy vetch,vegetables
blueberries,helped_by,oak trees,fruits
blueberries,helped_by,pine trees,fruits
blueberries,helped_by,bay laurel,fruits
fruit tree,helped_by,lemon balm,fruits
melon,helped_by,summer savory,fruits
melon,helped_by,sow thistle,fruits
passion fruit,helped_by,chard,fruits
strawberries,helped_by,"beans, bush",fruits
lupin,helped_by,summer savory,flowers
sunflower,helped_by,swan plant,flowers
tomato,helped_by,bee balm,vegetables
allium,avoid,beans,vegetables
allium,avoid,pea,vegetables
asparagus,avoid,onion,vegetables
asparagus,avoid,garlic,vegetables
asparagus,avoid,potato,vegetables
asparagus,avoid,gladiolus,vegetables
"beans, bush",avoid,fennel,vegetables
"beans, bush",avoid,soybeans,vegetables
"beans, bush",avoid,alfalfa,vegetables
"beans, pole",avoid,sunflower,vegetables
"beans, pole",avoid,beet,vegetables
"beans, pole",avoid,brassica,vegetables
"beans, pole",avoid,kohlrabi,vegetables
brassica,avoid,mustard,vegetables
brassica,avoid,nightshade,vegetables
brassica,avoid,tomato,vegetables
brassica,avoid,pepper,vegetables
brassica,avoid,strawberries,vegetables
cabbage,avoid,grape,vegetables
carrot,avoid,dill,vegetables
carrot,avoid,parsnip,vegetables
carrot,avoid,radish,vegetables
celery,avoid,corn,vegetables
corn,avoid,tomato,vegetables
corn,avoid,celery,vegetables
corn,avoid,tomato,vegetables
corn,avoid,celery,vegetables
cucumber,avoid,potato,vegetables
legume,avoid,allium,vegetables
legume,avoid,gladiolus,vegetables
lettuce,avoid,celery,vegetables
lettuce,avoid,cabbage,vegetables
lettuce,avoid,cress,vegetables
lettuce,avoid,parsley,vegetables
nightshade,avoid,beans,vegetables
nightshade,avoid,corn,vegetables
nightshade,avoid,fennel,vegetables
nightshade,avoid,dill,vegetables
nightshade,avoid,brassica,vegetables
onion,avoid,lentils,vegetables
onion,avoid,pea,vegetables
onion,avoid,beans,vegetables
pepper,avoid,beans,vegetables
potato,avoid,atriplex,vegetables
potato,avoid,carrot,vegetables
potato,avoid,cucumber,vegetables
potato,avoid,pumpkins,vegetables
potato,avoid,raspberries,vegetables
potato,avoid,squash,vegetables
potato,avoid,sunflower,vegetables
potato,avoid,tomato,vegetables
pumpkin,avoid,potato,vegetables
radish,avoid,grape,vegetables
tomato,avoid,alfalfa,vegetables
tomato,avoid,corn,vegetables
tomato,avoid,fennel,vegetables
tomato,avoid,pea,vegetables
tomato,avoid,dill,vegetables
tomato,avoid,potato,vegetables
tomato,avoid,beetroot,vegetables
tomato,avoid,brassica,vegetables
tomato,avoid,rosemary,vegetables
turnip,avoid,knotweed,vegetables
rutabaga,avoid,knotweed,vegetables
apple,avoid,cedar,fruits
apple,avoid,walnut,fruits
apricot,avoid,pepper,fruits
blueberries,avoid,tomato,fruits
grape,avoid,cabbage,fruits
grape,avoid,garlic,fruits
grape,avoid,radish,fruits
passion fruit,avoid,cucurbit,fruits
passion fruit,avoid,corn,fruits
passion fruit,avoid,cowpea,fruits
passion fruit,avoid,sorghum,fruits
passion fruit,avoid,okra,fruits
strawberries,avoid,brassica,fruits
strawberries,avoid,tomato,fruits
strawberries,avoid,potato,fruits
strawberries,avoid,eggplant,fruits
strawberries,avoid,pepper,fruits
strawberries,avoid,melon,fruits
strawberries,avoid,okra,fruits
strawberries,avoid,mint,fruits
strawberries,avoid,bush,fruits
strawberries,avoid,chrysanthemums,fruits
strawberries,avoid,rose,fruits
basil,avoid,thyme,herbs
caraway,avoid,dill,herbs
chervil,avoid,radish,herbs
chives,avoid,beans,herbs
chives,avoid,pea,herbs
dill,avoid,carrot,herbs
dill,avoid,tomato,herbs
garlic,avoid,cabbage,herbs
garlic,avoid,grape,herbs
hyssop,avoid,radish,herbs
lovage,avoid,rhubarb,herbs
parsley,avoid,allium,herbs
parsley,avoid,lettuce,herbs
sage,avoid,allium,herbs
geranium,avoid,tomato,flowers
geranium,avoid,tobacco,flowers
geranium,avoid,nightshade,flowers
lupin,avoid,tomato,flowers
lupin,avoid,nightshade,flowers
nasturtium,avoid,cauliflower,flowers
"beans, bush",avoid,dry beans,vegetables
beet,avoid,"beans, pole",vegetables
brassica,avoid,"beans, pole",vegetables
celery,avoid,aster,vegetables
cucumber,avoid,aromatic herbs,vegetables
leek,avoid,chard,vegetables
nightshade,avoid,black walnut,vegetables
pepper,avoid,kale cabbage,vegetables
pepper,avoid,brussels sprout,vegetables
tomato,avoid,black walnut,vegetables
tomato,avoid,chili peppers,vegetables
turnip,avoid,hedge mustard,vegetables
rutabaga,avoid,hedge mustard,vegetables
passion fruit,avoid,sweet potato,fruits
strawberries,avoid,bramble fruits,fruits
strawberries,avoid,stone fruits,fruits
basil,avoid,common rue,herbs
sage,avoid,common rue,herbs
sunflower,avoid,"beans, pole",flowers
